outcode,property_type,n_i,avg_price,sd,threshold
LS2,O,35,3253532.2,7057301.196836003,381599.9999999999
LS2,S,1,465e3,NA,465e3
LS2,T,40,267405.0,154000.9951682797,15e4
LS20,D,377,381576.93368700263,252476.2051513593,289986.0
LS20,F,107,146827.66355140187,45757.33849442384,119990.0
LS20,O,13,3433961.5384615385,7106947.212093302,132300.0
LS20,S,392,230251.3112244898,84313.71026757435,18e4
LS20,T,368,196379.31793478262,69018.39638402071,155e3
LS21,D,318,360824.80188679247,188869.65364835833,25e4
LS21,F,156,163655.89743589744,71392.89005100282,125250.0
LS21,O,18,392715.72222222225,366851.07848373975,206495.0
LS21,S,441,204602.87528344672,108419.48419007186,159e3
LS21,T,674,201074.1765578635,75550.49373059117,154e3
LS22,D,623,452614.66452648473,279691.04426181037,308649.6
LS22,F,197,183392.18781725888,109006.19058829502,124950.0
LS22,O,9,967722.2222222222,970135.2712093529,27e4
LS22,S,303,245391.72607260727,103129.8606619498,184600.0
LS22,T,268,228558.03731343284,111128.72466937965,159e3
LS23,D,362,415771.53038674034,172664.005098418,312198.5
LS23,F,57,177830.70175438595,64684.47094660051,139460.0
LS23,O,6,393296.6666666667,341481.8063479615,224e3
LS23,S,263,262958.83269961976,114966.47695749275,190600.0
LS23,T,257,222546.49416342413,154150.5753699153,149860.0
LS24,D,286,344747.62237762235,152555.49970258705,25e4
LS24,F,52,114631.73076923077,43223.905228706615,89960.0
LS24,O,8,483474.375,898726.5678862251,18165.50000000001
LS24,S,291,200879.48453608248,71624.14200400059,165e3
LS24,T,256,171973.6875,69985.94977859317,130750.0
LS25,D,979,267565.51583248214,101661.61605668161,209950.0
LS25,F,130,94263.30769230769,27488.239145131516,75e3
LS25,O,32,1633283.65625,4924526.196079687,220351.2
LS25,S,1469,157192.96051735873,48530.36706625694,135e3
LS25,T,795,138713.20880503143,50996.60122721051,114e3
LS26,D,645,280058.43255813955,108568.22514862646,22e4
LS26,F,64,106106.359375,26007.03611105076,87349.99999999999
LS26,O,22,904046.1818181818,1650702.9210581095,171e3
LS26,S,1072,146727.53264925373,39399.19678574862,124995.0
LS26,T,613,135305.088091354,53122.44051454137,108e3
LS27,D,605,224104.65123966942,101907.37247072191,18e4
LS27,F,263,88608.78326996198,31622.654751808637,73280.0
LS27,O,50,1664374.24,4585211.124898061,209100.0
LS27,S,1077,139921.35933147633,40942.6737098709,121780.0
LS27,T,1321,114979.60333080999,44318.93475355106,89500.0
LS28,D,692,265911.0823699422,89777.00441685563,220300.0
LS28,F,279,99600.2688172043,29272.256831024057,86e3
LS28,O,32,436534.59375,887656.60239324125,127999.99999999999
LS28,S,1259,157728.42255758538,52395.45983250629,130910.0
LS28,T,1585,148057.87760252366,55443.942242403275,119589.99999999999
LS29,D,956,487493.19769874477,249414.98348284175,354500.0
LS29,F,817,198424.62056303548,96529.76138635603,134e3
LS29,O,36,627882.0555555555,598434.9855422627,214975.0
LS29,S,808,298052.853960396,141463.95113617004,220200.0
LS29,T,979,257463.4606741573,109538.01312458346,19e4
LS3,F,56,103008.39285714286,46061.84860367973,81500.0
LS3,O,14,2607090.8571428573,6772474.957876226,296669.10000000003
LS3,S,1,12e4,NA,12e4
LS3,T,33,165090.9090909091,103655.65774969896,118e3
LS4,D,3,353333.3333333333,153324.275094759,285e3
LS4,F,43,98852.90697674418,42572.25937314108,61e3
LS4,O,10,579545.8,703811.4654735,152699.99999999997
LS4,S,206,155174.41747572814,36073.79028494824,135e3
LS4,T,435,124217.42758620689,31085.22034244584,109960.0
LS5,D,56,184181.25,60782.741691207055,149050.0
LS5,F,54,100639.79629629629,27109.26815293822,85899.5
LS5,O,7,3179198.0,4983459.445715864,123400.0
LS5,S,233,152498.61373390557,48828.13134542793,125e3
LS5,T,220,127733.04545454546,32180.669011746577,111e3
LS6,D,163,295552.7607361963,104769.36620706483,22e4
LS6,F,352,130336.86363636363,44700.08263851627,105e3
LS6,O,49,1127257.7346938776,2553608.18110152,115999.99999999999
LS6,S,750,202031.94,73064.16106307419,165e3
LS6,T,1274,169096.1891679749,77254.14779465196,125e3
LS7,D,108,264273.8703703704,95126.70457908491,2e5
LS7,F,337,123215.3471810089,56553.520713325706,94759.99999999999
LS7,O,46,611162.5434782609,1247147.0873737156,73247.5
LS7,S,671,187632.2995529061,60486.0909227453,157e3
LS7,T,603,159066.0497512438,71830.84130003824,112300.0
LS8,D,385,375690.1324675325,196623.6474578019,260500.0
LS8,F,444,141789.79504504506,79442.00171598064,96500.0
LS8,O,35,833811.9714285714,1421336.600242025,166e3
LS8,S,1346,216690.47994056463,108533.22579569489,147995.0
LS8,T,924,121278.29761904762,83623.11607482765,69500.0
LS9,D,18,132663.88888888888,57394.029730389295,104200.0
LS9,F,802,121593.51371571072,44055.00124075057,98299.99999999999
LS9,O,44,687913.0454545454,1116503.7174297972,156127.7
LS9,S,332,93816.05421686747,24584.158594707686,81150.0
LS9,T,1107,66153.60794941282,18222.903735993703,56500.0
LU1,D,211,390060.5876777251,146749.810912073,31e4
LU1,F,636,97593.49528301887,34568.28169693596,77e3
LU1,O,122,975355.262295082,1857348.7076425503,144300.0
LU1,S,668,224851.1482035928,70004.93125404493,18e4
LU1,T,1043,171650.78811121764,54521.132737349646,14e4
LU2,D,668,315168.9520958084,114952.31562604907,249995.5
LU2,F,751,124318.05193075899,41827.283026735495,105e3
LU2,O,26,929421.6923076923,2061006.806841681,156500.0
LU2,S,1756,216601.61161731207,60090.41629387344,178250.0
LU2,T,1412,179420.65722379604,48298.9941605117,152500.0
LU3,D,530,303779.1905660377,96166.67275466454,244700.0
LU3,F,439,111954.87471526196,30397.37652846108,94100.0
LU3,O,21,633246.1904761905,899502.6640342773,2e5
LU3,S,1451,203156.549965541,52073.216307499926,173250.0
LU3,T,1101,163881.43960036332,43694.91820087458,137500.0
LU4,D,254,258335.62598425196,77554.22113942832,215900.0
LU4,F,234,104811.44444444444,30863.262788149543,86e3
LU4,O,21,2141239.1904761903,4708099.274404031,249e3
LU4,S,1173,186069.97868712703,47249.30735126667,157e3
LU4,T,913,165767.12157721797,39581.9809640565,142e3
LU5,D,432,326842.50925925927,140583.85937011644,25e4
LU5,F,519,127443.79383429672,35687.13908039041,107e3
LU5,O,35,1025886.6857142857,1437016.804183845,266e3
LU5,S,988,221997.28441295546,57951.84082741281,188099.99999999994
LU5,T,1216,176969.25657894736,49402.68412132811,146250.0
LU6,D,733,439655.6057298772,203769.9668274015,32e4
LU6,F,633,125441.63191153239,41622.413966638014,103333.0
LU6,O,28,859584.4642857143,1501402.804112244,212490.0
LU6,S,764,244790.7892670157,71558.30063316197,205e3
LU6,T,957,210327.01880877741,83592.56461399198,17e4
LU7,D,1547,383300.7756948933,161315.78133268966,295e3
LU7,F,1002,146594.49201596808,38973.28421380505,125e3
LU7,O,56,829466.4107142857,1453262.2757716803,27e4
LU7,S,1474,256772.91519674356,81419.86138670177,215e3
LU7,T,2060,215844.97427184467,74609.06704289373,177500.0
M1,D,2,2431e3,2801557.067061101,1638600.0000000002
M1,F,1614,171529.875464684,57372.87559591038,137460.09999999998
M1,O,81,3753244.8024691357,6873160.367184256,75e4
M1,T,7,305500.0,116495.708075448,283e3
M11,D,81,155490.65432098764,36936.0245370832,154846.0
M11,F,96,97727.33333333333,26029.33920614913,85750.0
M11,O,23,203211.91304347827,243866.57537397055,41e3
M11,S,308,121268.17857142857,44868.19708013775,95100.0
M11,T,709,95576.12552891397,47220.61184994121,61e3
M12,D,20,173371.75,33121.00332492964,159396.5
M12,F,59,69689.83050847458,16981.251780706352,60540.0
M12,O,17,1031111.7647058824,1270818.8796413678,231980.0
M12,S,161,122008.3602484472,31018.17007387621,106e3
M12,T,399,84727.66165413534,28928.734527196888,67e3
M13,D,1,24e4,NA,24e4
M13,F,158,86211.1329113924,24943.946664447125,78e3
M13,O,14,1479671.9285714286,2020990.1112462545,216300.00000000003
M13,S,138,149162.26811594202,81379.91655637899,130100.0
M13,T,525,138635.78285714285,38589.42279198286,12e4
M14,D,52,287542.6346153846,132309.239400528,196415.0
M14,F,403,119549.82630272953,262700.4376272752,85980.0
M14,O,51,1169449.6274509805,3284772.7557836752,122e3
M14,S,418,172570.42105263157,59513.74464442367,138e3
M14,T,1418,126118.79055007052,47842.68281599935,1e5
M15,D,11,180722.72727272726,82412.05119288187,159950.0
M15,F,1526,196002.5871559633,372269.4051281559,121e3
M15,O,34,4007544.5,9891372.433812743,322225.0
M15,S,47,142625.53191489363,22299.23198214514,126800.0
M15,T,165,146160.6181818182,44882.54348221137,123200.0
M16,D,72,291654.06944444444,120776.52333648552,211500.0
M16,F,762,108709.73228346456,33992.60917237898,9e4
M16,O,29,673763.7931034482,1854635.3208580883,24000.000000000004
M16,S,516,237679.83720930232,73066.91267460727,2e5
M16,T,555,172739.06846846847,50227.03800098808,147100.0
M17,O,29,4122731.3103448274,6908191.831507997,504e3
M18,D,31,158451.61290322582,37158.97263531149,15e4
M18,F,27,60413.51851851852,30757.537531936625,47400.0
M18,O,18,418497.8888888889,527285.7426616257,74600.0
M18,S,314,102389.92038216561,27331.93211853671,85e3
M18,T,866,72174.9988452656,23686.380200932366,59625.0
M19,D,49,201140.306122449,62454.617026487074,167300.0
M19,F,201,92298.16417910448,35698.606654432755,72e3
M19,O,18,340497.5,357580.01362200285,126424.99999999999
M19,S,902,164840.15521064302,44994.09697632637,141300.0
M19,T,964,112121.86203319502,38219.00684152984,9e4
M2,D,1,377e3,NA,377e3
M2,F,28,293173.21428571426,105625.57339940163,256400.0
M2,O,41,4520629.707317073,4631028.227224243,1032e3
M20,D,205,535073.6,261148.8549914012,364200.0
M20,F,1745,172058.54842406878,66216.87042190548,135e3
M20,O,40,707224.075,1043545.2385852609,131e3
M20,S,1422,285670.7876230661,151664.1822700111,187e3
M20,T,981,258702.18348623853,99917.81997100486,198e3
M21,D,71,396626.6901408451,168973.9479263502,29e4
