outcode,property_type,n_i,avg_price,sd,threshold
PE14,S,218,146832.123853211,37478.54913138722,128050.0
PE14,T,59,115277.8813559322,24076.24353510204,100800.0
PE15,D,657,219355.72298325723,75541.29313532624,175e3
PE15,F,44,77454.54545454546,12607.144606825954,70900.0
PE15,O,18,525395.3888888889,761092.4273908285,141600.0
PE15,S,309,150094.56310679612,32816.158403501446,132700.0
PE15,T,286,128266.76573426573,34244.466828415825,11e4
PE16,D,164,245018.53658536586,81253.4796309657,2e5
PE16,F,35,91607.14285714286,30243.81838359978,73150.0
PE16,O,11,578090.9090909091,1084405.316710081,148e3
PE16,S,161,158545.7142857143,35930.39005692613,14e4
PE16,T,168,132429.10714285713,29602.480143311604,119100.0
PE17,T,1,233e3,NA,233e3
PE19,D,581,377416.4096385542,185393.0236620279,299995.0
PE19,F,468,157984.047008547,45733.091951042385,137050.0
PE19,O,41,1400453.6829268292,3198823.575400435,221e3
PE19,S,477,243483.99371069184,56132.71563703091,215899.99999999997
PE19,T,639,218551.7214397496,65718.87356764913,18e4
PE2,D,699,242421.26037195994,80652.79878719141,199398.0
PE2,F,294,90822.67346938775,33030.35667799042,68351.0
PE2,O,43,1304841.2558139535,6502998.648879993,157050.0
PE2,S,728,169722.77884615384,33478.33042730762,151094.99999999997
PE2,T,742,132274.40161725067,30343.245332652987,116e3
PE20,D,290,201996.3103448276,65880.70004891034,164950.0
PE20,F,6,93e3,22847.319317591726,82500.0
PE20,O,7,230035.7142857143,151097.6800899717,189200.0
PE20,S,142,126677.04225352113,26560.897739109307,118e3
PE20,T,45,113391.33333333333,38078.50345607801,106500.0
PE21,D,579,185318.70639032815,57702.88735008394,152200.0
PE21,F,136,90658.47794117648,21861.830682033018,80500.0
PE21,O,52,745756.5384615385,2323978.7914580894,104499.99999999997
PE21,S,399,123695.01253132832,24700.666671416075,115e3
PE21,T,404,108504.60643564357,40528.81544268419,90900.0
PE22,D,400,191642.5275,73359.9744084075,148775.0
PE22,F,2,33750.0,1767.7669529663688,33250.0
PE22,O,16,525936.625,830971.0201097568,137500.0
PE22,S,100,120629.8,27843.18466488394,111400.0
PE22,T,28,106201.78571428571,24816.27110401433,99955.0
PE23,D,199,216480.6281407035,89119.96179383017,166400.0
PE23,F,3,84833.33333333333,12770.408502993681,79400.0
PE23,O,10,387654.9,403956.41714324965,177330.0
PE23,S,69,113633.26086956522,29546.203770113414,101600.0
PE23,T,46,110354.34782608696,27074.468961832245,94500.0
PE24,D,325,164015.33846153846,66522.30601744736,130400.00000000001
PE24,F,16,49468.75,13310.983872977484,40250.0
PE24,O,24,130922.91666666667,194621.1766144049,14400.0
PE24,S,72,114500.69444444444,26124.99139841567,105600.0
PE24,T,33,103185.0,37474.311493008114,78100.0
PE25,D,302,171658.6026490066,63360.480199757905,142e3
PE25,F,88,71134.72727272728,25576.71811095129,57550.0
PE25,O,29,609450.3793103448,1071437.5726138563,135200.0
PE25,S,197,127654.31472081218,29945.11295623494,114e3
PE25,T,98,117311.09183673469,38725.83182632704,95100.0
PE26,D,207,280703.961352657,97095.82673787334,23e4
PE26,F,37,85827.35135135135,29250.102960138087,62900.0
PE26,O,15,464858.6666666667,805269.613476103,7e4
PE26,S,153,182024.97385620914,51268.872951558005,155600.0
PE26,T,102,144558.13725490196,32975.086282035816,124790.0
PE27,D,180,358244.4166666667,114430.03594604488,295e3
PE27,F,120,172261.425,57052.014954019476,139998.5
PE27,O,38,475998.7105263158,516489.7771192028,21e4
