outcde,prop_typ,year,N,avg_price,median,sd,q25,q20,q15,q10,q05,scottish
B16,F,2016,458,146174.2096069869,135e3,62458.61583634633,115646.75,107e3,102410,97868,89968.65000000001,FALSE
B16,O,2015,6,4624577.833333333,123e4,8453086.32977022,517500,47e4,371500,273e3,174500,FALSE
B16,O,2016,27,330942.962962963,109950,605362.3390465913,49950,49950,49780.1,40930.600000000006,28481.4,FALSE
B16,S,2015,40,289224.625,26e4,110131.17549486799,224500,219e3,2e5,185e3,183725,FALSE
B16,S,2016,39,274685.89743589744,262500,121719.0428322093,192500,185e3,181400,158200.00000000003,89500,FALSE
B16,T,2015,79,137944.96202531646,124e3,55600.12205747602,95e3,94300,89400,83e3,74300,FALSE
B16,T,2016,73,168149.1095890411,145e3,94230.41221205864,11e4,104600,99600,89200,79400,FALSE
B17,D,2015,84,480273.8095238095,445e3,184024.7725067363,34e4,31e4,297250,281550,247875,FALSE
B17,D,2016,62,486990.5483870968,435e3,204015.2797579405,357875,333600,305750,3e5,255250,FALSE
B17,F,2015,112,162231.4642857143,159950,61461.29406366819,122250,115500.00000000001,101e3,91400,79950,FALSE
B17,F,2016,136,151106.3161764706,138750,62374.52428862785,11e4,94e3,86e3,79997.5,68750,FALSE
B17,O,2015,10,1212070,412500,1585328.5015695922,292125,281600,263825,246e3,228e3,FALSE
B17,O,2016,4,1381125,1142500,1370770.4874145295,592375,476800.00000000006,361224.99999999994,245650.00000000003,130074.99999999993,FALSE
B17,S,2015,114,300749.13157894736,273500,134534.0068011567,201250,183400,165950,160600,143600,FALSE
B17,S,2016,103,335511.71844660194,315e3,126648.92585584593,256452.5,238500,221300,182400,162250,FALSE
B17,T,2015,237,247583.44303797468,237e3,113582.70654995814,172500,159e3,141e3,124490,105800,FALSE
B17,T,2016,210,259888.10952380951,24e4,110648.11476602314,180375,168900.00000000003,145449.99999999997,125e3,112250,FALSE
B18,D,2015,3,129166.66666666667,162e3,73014.26801203538,103750,92099.99999999999,80450,68800,57150.00000000001,FALSE
