year,outcode,property_type,n_i,avg_price,sd
2015.0,SS3,O,9,166744.44444444444,107835.98786016557
2015.0,SS3,S,148,248454.29054054053,70580.16011872175
2015.0,SS3,T,143,202848.04195804195,51547.45305259509
2015.0,SS4,D,103,372235.4077669903,140045.33266182602
2015.0,SS4,F,93,136723.81720430107,33252.60228781913
2015.0,SS4,O,8,768327.25,730783.8566892695
2015.0,SS4,S,139,244920.76978417265,43636.70715856397
2015.0,SS4,T,55,213481.27272727274,33059.18118143892
2015.0,SS5,D,205,433758.9024390244,118030.34256840042
2015.0,SS5,F,23,170434.5652173913,46348.044258852526
2015.0,SS5,O,4,1504721.0,1064135.1336564356
2015.0,SS5,S,168,271884.73214285716,50105.746946070285
2015.0,SS5,T,23,229456.30434782608,57179.760846772275
2015.0,SS6,D,205,388362.4,95248.71939757741
2015.0,SS6,F,71,174927.29577464788,33067.09508188049
2015.0,SS6,O,6,557170.0,431968.61622113246
2015.0,SS6,S,272,274068.9742647059,40894.24423925335
2015.0,SS6,T,85,243546.0823529412,40122.93139519017
2015.0,SS7,D,341,385883.66275659826,124773.4113013079
2015.0,SS7,F,102,159181.568627451,27572.98685218358
2015.0,SS7,O,17,704999.6470588235,620935.0449028406
2015.0,SS7,S,450,263978.6022222222,45061.24215579459
2015.0,SS7,T,86,243868.8023255814,45068.23430489002
2015.0,SS8,D,338,242877.3372781065,78610.7435595027
2015.0,SS8,F,66,148584.62121212122,37585.9635145336
2015.0,SS8,O,7,295714.28571428574,271622.11145002797
2015.0,SS8,S,183,203781.32240437157,38298.31274681207
2015.0,SS8,T,91,186458.02197802198,23742.511040081674
2015.0,SS9,D,216,426904.9537037037,192503.10711898387
2015.0,SS9,F,293,206631.4300341297,91239.89968142276
2015.0,SS9,O,4,855244.75,627713.957077784
2015.0,SS9,S,378,321233.5026455026,110896.40439476982
2015.0,SS9,T,186,297820.59139784944,103081.21826685058
2015.0,ST1,D,35,153164.25714285715,44878.12358019208
2015.0,ST1,F,77,84040.97402597402,28059.49264789389
2015.0,ST1,O,17,570207.0588235294,1281015.5907900024
2015.0,ST1,S,150,105701.0,29768.503619062227
2015.0,ST1,T,307,79018.37785016287,39155.848667219914
2015.0,ST10,D,184,248903.22826086957,115343.01622960162
2015.0,ST10,F,16,110837.5,22575.846237369118
2015.0,ST10,O,6,264666.6666666667,153338.4057132024
2015.0,ST10,S,144,137391.59027777778,39069.29764724643
2015.0,ST10,T,81,121492.16049382716,41662.685080134
2015.0,ST11,D,78,237121.60256410256,85431.38189385993
2015.0,ST11,F,3,124e3,61739.37155494863
2015.0,ST11,O,3,599499.6666666666,388221.79356694204
2015.0,ST11,S,61,157625.40983606558,50388.75670139688
2015.0,ST11,T,16,149884.375,61977.87432826331
2015.0,ST12,D,43,383645.3488372093,131206.12954520286
2015.0,ST12,F,2,172500.0,45961.94077712559
