year,outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
2015.0,CO15,O,14,1002728.9285714285,1882228.4139430404,52800.0,60900.0,69350.0,91e3,131850.0,327500.0,1037500.0
2015.0,CO15,S,336,157377.32142857142,32014.266924051746,117e3,125e3,13e4,135e3,137375.0,15e4,172e3
2015.0,CO15,T,99,134866.26262626261,38565.02278383974,95e3,1e5,105e3,109200.0,115750.0,13e4,140500.0
2015.0,CO16,D,269,245814.66914498142,108902.45051920495,138800.0,151800.0,16e4,166600.0,175e3,225e3,285e3
2015.0,CO16,F,22,100011.13636363637,66915.97780464654,59049.75,60395.5,64900.0,71e3,75e3,86500.0,103750.0
2015.0,CO16,O,8,277e3,156759.14190703063,63850.000000000015,102700.00000000003,139700.0,165600.00000000003,191500.0,27e4,391250.0
2015.0,CO16,S,164,169480.79268292684,48551.39170491782,12e4,125e3,13e4,135e3,141875.0,16e4,185e3
2015.0,CO16,T,116,147958.0431034483,32574.588265245966,1e5,111e3,118500.0,122500.0,127375.0,15e4,164996.25
2015.0,CO2,D,119,316133.487394958,138711.6168157584,202700.0,219400.0,225e3,235200.0,244e3,274995.0,335e3
2015.0,CO2,F,236,129251.77966101695,28424.266277514944,89e3,94997.5,100250.0,105e3,11e4,125e3,15e4
2015.0,CO2,O,4,114e4,944448.6928009024,393999.99999999994,463e3,532e3,601e3,67e4,867500.0,1337500.0
2015.0,CO2,S,197,218867.35025380712,58503.580185703686,153700.0,165e3,175e3,178399.0,182e3,21e4,249995.0
2015.0,CO2,T,321,198473.738317757,49571.68431656633,135e3,146e3,155e3,161e3,165e3,187995.0,230995.0
2015.0,CO3,D,267,402413.8539325843,212343.90283195593,224995.0,24e4,25e4,257600.0,265e3,325e3,479e3
2015.0,CO3,F,116,142840.9827586207,51015.5375303715,82375.0,87e3,88250.0,95e3,106125.0,137500.0,159250.0
2015.0,CO3,O,7,1606999.142857143,3158719.204794639,45388.200000000004,60776.40000000001,76164.59999999999,108035.20000000001,148147.0,25e4,986350.0
2015.0,CO3,S,200,270006.75,88764.03409847185,18e4,19e4,195e3,21e4,215e3,249e3,3e5
2015.0,CO3,T,110,218078.31818181818,73876.73788712375,134175.0,150400.0,154168.0,159500.0,167375.25,209e3,247812.5
2015.0,CO4,D,228,334099.8596491228,121025.61778490576,184675.0,217800.0,235e3,245e3,25e4,307896.5,395e3
2015.0,CO4,F,223,121952.71748878923,36543.97506973353,65100.0,82062.0,86150.0,9e4,96250.0,126e3,147e3
2015.0,CO4,O,9,1991409.3333333333,1693907.6348015554,247e3,249e3,346000.00000000006,538e3,73e4,1584570.0,264e4
2015.0,CO4,S,215,210496.0046511628,47313.75185575757,154200.0,161600.0,17e4,173800.0,179500.0,204e3,233250.0
2015.0,CO4,T,337,201434.05044510384,54025.66464345525,123400.0,135e3,149997.0,160200.0,165e3,19e4,23e4
2015.0,CO5,D,259,392297.277992278,172832.70724665874,215e3,238e3,253500.0,269998.0,279250.0,35e4,465e3
2015.0,CO5,F,64,165075.625,79041.44096159757,108300.0,115360.0,118450.0,120600.0,124312.5,138500.0,157875.0
2015.0,CO5,O,5,365e3,183813.76444651798,208e3,231e3,254e3,277e3,3e5,32e4,345e3
2015.0,CO5,S,175,245365.54285714286,65984.31825216969,172800.0,187800.0,195e3,2e5,208750.0,23e4,261e3
2015.0,CO5,T,84,217380.65476190476,63879.63914627015,157874.25,163950.0,165450.0,171500.0,178746.25,207500.0,235625.0
2015.0,CO6,D,252,444713.90079365077,213131.141805726,234947.25,25e4,27e4,296e3,306875.0,39e4,515e3
2015.0,CO6,F,42,134898.69047619047,57339.678181648604,80202.50000000001,87075.0,95e3,100600.0,105e3,117750.0,157250.0
2015.0,CO6,O,4,1031250.0,626290.3346957649,268749.9999999999,437500.00000000006,606250.0,775000.0000000001,943750.0,1312500.0,14e5
2015.0,CO6,S,141,270275.07092198584,88764.19142872274,18e4,194e3,21e4,22e4,225e3,25e4,299e3
2015.0,CO6,T,83,264153.4337349398,134448.18471488063,164100.0,170496.0,175e3,177350.0,181250.0,215e3,293e3
2015.0,CO7,D,267,363640.72284644196,158325.83214090767,193e3,22e4,23e4,240400.00000000003,255750.0,32e4,42e4
