outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
CT5,F,272,184420.23897058822,74785.41106988063,121375.0,129099.5,131e3,135e3,15e4,163500.0,192e3
CT5,O,33,391251.0909090909,454532.9756406132,2980.0,8440.000000000002,22640.0,61299.600000000006,78e3,18e4,555e3
CT5,S,417,286891.52997601917,73598.89360156645,2e5,218e3,226400.0,235e3,24e4,272500.0,312500.0
CT5,T,278,306997.08992805757,144523.42385161418,179400.0,202500.0,215e3,225e3,23e4,276e3,349125.0
CT6,D,687,314632.0756914119,100986.86077114774,191300.0,218e3,227500.0,24e4,25e4,3e5,36e4
CT6,F,293,139932.795221843,56586.530405760284,74999.6,84199.0,92400.0,97200.0,103500.0,135e3,16e4
CT6,O,30,1945237.0333333334,7254191.46366076,7725.0,18800.000000000004,37824.999999999985,7e4,75125.0,160250.0,289429.5
CT6,S,415,242479.156626506,56265.62694590283,174696.5,185e3,195100.0,205e3,21e4,237500.0,265e3
CT6,T,267,220087.77528089887,62297.99734753293,150300.0,164597.0,175e3,182200.0,185e3,208e3,242750.0
CT7,D,187,357147.7272727273,131641.72019953208,218e3,236200.0,247450.0,258390.0,267e3,33e4,415e3
CT7,F,164,142728.26219512196,53023.918397910355,79995.75,87150.0,93450.0,103600.0,11e4,131500.0,167625.0
CT7,O,10,705400.0,863415.4336766925,28674.999999999996,56349.99999999999,79124.99999999999,100500.0,119500.0,2e5,1036875.0
CT7,S,172,243270.67441860464,52986.02344444033,174212.5,185e3,195617.5,202200.0,205e3,242e3,264237.5
CT7,T,77,192508.05194805196,47926.0872344335,142800.0,147e3,150800.0,155500.0,162500.0,179995.0,212e3
CT8,D,43,360062.5581395349,125152.06909696895,188e3,22e4,23e4,247e3,253750.0,339995.0,447500.0
CT8,F,141,160418.26241134753,83938.69629928443,76500.0,86e3,94500.0,103e3,11e4,135e3,191e3
CT8,O,9,670500.0,1100226.9652212674,57699.999999999985,113900.0,148600.0,161800.0,175e3,27e4,531e3
CT8,S,57,224664.29824561405,57344.42953422669,156600.0,159980.0,169e3,180496.0,185e3,23e4,25e4
CT8,T,134,209023.69402985074,52485.38718198161,144300.0,155e3,157975.0,161200.0,167625.0,197250.0,246875.0
CT9,D,266,314836.5037593985,108222.89063131747,199e3,22e4,229998.75,238e3,246375.0,29e4,355e3
CT9,F,628,108445.17515923567,58365.318139370574,45525.0,55e3,64e3,69233.20000000001,75e3,1e5,125e3
CT9,O,65,337285.6307692308,396712.30708917737,9200.0,29400.000000000004,53e3,77000.00000000001,9e4,2e5,5e5
CT9,S,406,221684.33743842365,60598.49021691717,145e3,157e3,165e3,17e4,177625.0,215e3,25e4
CT9,T,695,176634.745323741,61759.239590067846,111e3,124e3,128545.0,134999.8,14e4,165e3,198e3
CV1,D,34,262731.76470588235,47398.33915199141,172400.0,241500.0,249745.25,257995.0,259995.0,262495.0,274873.75
CV1,F,262,127498.20992366412,38897.74146076949,79952.5,85550.0,90725.0,97600.0,108500.0,128247.5,141995.0
CV1,O,40,1777777.425,4195495.780773164,66487.65,72215.8,98500.0,104e3,153750.0,391500.0,1063137.5
CV1,S,49,210221.22448979592,73192.07852552115,97800.0,128900.0,145700.0,15e4,155500.0,21e4,242500.0
CV1,T,419,142794.7923627685,62520.06269353227,74900.0,85e3,89985.0,95e3,101e3,129950.0,168e3
CV10,D,500,229302.81,83579.36858018479,14e4,156900.0,162500.0,169e3,173375.0,21e4,255500.0
CV10,F,105,94723.33333333333,42683.39563367134,41250.0,55e3,62100.0,66600.0,69950.0,91e3,106e3
CV10,O,19,1676619.9473684211,4068153.2465703166,24149.999999999996,49100.0,58537.5,76200.0,119750.0,271500.0,1073e3
CV10,S,689,144487.9129172714,33529.130679460075,95e3,105e3,115e3,12e4,124950.0,143e3,165e3
